City,Automobile Mechanic - Gross (New York = 100),Automobile Mechanic - Gross (USD),"Automobile Mechanic - Gross, annual (New York = 100)","Automobile Mechanic - Net, annual (New York = 100)",Average annual (gross) - (USD),Average hourly (gross) - (USD),Average hourly (net) - (USD),Bus Driver - Gross (New York = 100),Bus Driver - Gross (USD),"Bus Driver - Gross, annual (New York = 100)","Bus Driver - Net, annual (New York = 100)",Call Center Agent - Gross (New York = 100),Call Center Agent - Gross (USD),"Call Center Agent - Gross, annual (New York = 100)","Call Center Agent - Net, annual (New York = 100)",Carpenter - Gross (New York = 100),Carpenter - Gross (USD),"Carpenter - Gross, annual (New York = 100)","Carpenter - Net, annual (New York = 100)",Construction Worker - Gross (New York = 100),Construction Worker - Gross (USD),"Construction Worker - Gross, annual (New York = 100)","Construction Worker - Net, annual (New York = 100)",Cook - Gross (New York = 100),Cook - Gross (USD),"Cook - Gross, annual (New York = 100)","Cook - Net, annual (New York = 100)",Department Manager - Gross (New York = 100),Department Manager - Gross (USD),"Department Manager - Gross, annual (New York = 100)","Department Manager - Net, annual (New York = 100)",General Practitioner - Gross (New York = 100),General Practitioner - Gross (USD),"General Practitioner - Gross, annual (New York = 100)","General Practitioner - Net, annual (New York = 100)",Industrial Technician - Gross (USD),"Industrial Technician - Gross, annual (New York = 100)","Industrial Technician - Net, annual (New York = 100)",Nurse - Gross (New York = 100),Nurse - Gross (USD),"Nurse - Gross, annual (New York = 100)","Nurse - Net, annual (New York = 100)",Practice Assistant - Gross (New York = 100),Practice Assistant - Gross (USD),"Practice Assistant - Gross, annual (New York = 100)","Practice Assistant - Net, annual (New York = 100)",Primary School Teacher - Gross (New York = 100),Primary School Teacher - Gross (USD),"Primary School Teacher - Gross, annual (New York = 100)","Primary School Teacher - Net, annual (New York = 100)",Product Manager - Gross (New York = 100),Product Manager - Gross (USD),"Product Manager - Gross, annual (New York = 100)","Product Manager - Net, annual (New York = 100)",Sales Assistant - Gross (New York = 100),Sales Assistant - Gross (USD),"Sales Assistant - Gross, annual (New York = 100)","Sales Assistant - Net, annual (New York = 100)",Secretary - Gross (New York = 100),Secretary - Gross (USD),"Secretary - Gross, annual (New York = 100)","Secretary - Net, annual (New York = 100)","Taxes and Social Security (average) - Social security contribution, employee (%)",Taxes and Social Security (average) - Tax (%),Working hours and vacation days (average) - Vacation per year (NY = 100),Working hours and vacation days (average) - Vacation per year (days),Working hours and vacation days (average) - Work per year (NY = 100),Working hours and vacation days (average) - Work per year (hours),Exchange Rates - Currency Unit,Exchange Rates - LC/USD,Exchange Rates - Local Currency (LC),"Domestic Purchasing Power - Gross, hourly (New York = 100)",Domestic Purchasing Power - Net (New York = 100),"Domestic Purchasing Power - Net, hourly (New York = 100)",Price Level - excl. rent (New York = 100),Price Level - incl. rent (New York = 100),Wage Level (gross) - (New York = 100),Wage Level (net annual) - (New York = 100),Wage Level (net) - (New York = 100),"Working time required to buy… - Big Mac, net (NY = 100)","Working time required to buy… - Big Mac, net (minutes)",Working time required to buy… - Haircut Men (NY = 100),Working time required to buy… - Haircut Men (minutes),Working time required to buy… - Haircut Women (NY = 100),Working time required to buy… - Haircut Women (minutes),"Working time required to buy… - iPhone X 64GB, net (NY = 100)","Working time required to buy… - iPhone X 64GB, net (hours)",City Breaks - (New York = 100),City Breaks - (USD),Food - (New York = 100),Food - (USD),Home Electronics and Household Appliances - Home Electronics (New York = 100),Home Electronics and Household Appliances - Home Electronics (USD),Home Electronics and Household Appliances - Household Appliances (New York = 100),Home Electronics and Household Appliances - Household Appliances (USD),Housing - (New York = 100),Housing - (USD),Public Transport - (New York = 100),"Public Transport - Bus, Tram or Metro (USD)",Public Transport - Public Transportation (USD),Public Transport - Taxi (USD),Public Transport - Train (USD),"Restaurants and Hotels - Hotel, first-class international (USD)","Restaurants and Hotels - Hotel, good mid-range (USD)",Restaurants and Hotels - Restaurant (USD),Services - (New York = 100),Services - (USD),Total expenditure on goods and services - (New York = 100),Total expenditure on goods and services - (USD),Women's and Men's Clothing - Men's clothing (New York = 100),Women's and Men's Clothing - Men's clothing (USD),Women's and Men's Clothing - Women's clothing (New York = 100),Women's and Men's Clothing - Women's clothing (USD),Longitude,Latitude,City Code,Country,Region,Continent,Development
Seoul,55.3,24957.56,55.2,60.2,26615.98,11.54,9.25,66.03,28618.75,65.9,71.3,55.2,16799.85,55.1,61.1,55.34,23532.22,55.2,60.3,76.53,23786.85,76.4,82.8,43.22,29500.67,43.1,48.6,37.11,43170.34,37,44.2,32.54,69292.41,32.5,41.1,36425.56,73.5,79.2,34.92,29484.86,34.9,40,51.41,21128.69,51.3,56.4,46.59,33935.08,46.5,52.4,25.51,29190.13,25.5,30.8,44.67,17247.02,44.6,49.6,53.67,23122.31,53.6,58.6,8.3,11.2,93.4,14.2,112.8,2307,100,0.0932,KRW,45.3,58.5,52.1,88.3,77.4,40,51.6,46,189.11,28.7,68.4,87.65,52.07,111.83,271.3,146.8,93.2,1002.23,123.7,592.57,134.9,5219.43,90,640.516922,34.7,1332.19,59.1,1.49,36.59,6.99,28.11,276.55,128.49,64.33,52.69,708.33,88.27,3242.18,95.2,942.36,132.7,853.21,127,37.567,SEL,South Korea,Asia,East Asia,Industrialized
Manila,7.18,3241.14,7.2,9.3,7361.15,3.22,2.7,6.87,2979.1,6.9,8.9,18.89,5749.06,18.9,23.9,5.24,2226.82,5.2,6.8,6.56,2038.93,6.6,8.4,6.51,4442.68,6.5,8.8,13.24,15408.22,13.2,16.6,6.36,13531,6.4,8.9,3746.19,7.6,9.8,10.02,8455.9,10,12.8,9.78,4020.64,9.8,12.7,7.65,5571.22,7.6,10.3,43.73,50044.76,43.7,48.5,6.61,2552.09,6.6,8.5,10.14,4370.19,10.1,13.2,3,4.7,92.5,14.1,111.9,2289,1,0.0193,PHP,24.6,33,29.6,45.2,39.3,11.1,14.9,13.4,407.97,61.9,101.6,130.12,72.11,154.85,823.2,445.3,36.4,391.16,44.7,214.04,104.6,4048.6,93.2,663.004521,16,613.63,6,0.43,3.7,2.11,1.16,187.59,57.57,25.32,34.93,469.55,45.24,1661.76,32.1,317.48,45.4,291.78,120.95,14.583,MNL,Philippines,Asia,East Asia,Developing
Brussels,67.35,30395.08,67.4,52.5,32562.3,17.87,9.96,83.15,36037.94,83.2,62.6,100.31,30529.35,100.3,77.5,58.59,24916.7,58.6,47,93.65,29106.49,93.7,72.9,52.25,35665.76,52.2,41.1,62.07,72212.79,62.1,46.4,24.08,51275.98,24.1,21.2,36867.67,74.5,56.3,43.17,36444.99,43.2,34.4,70.83,29110.6,70.8,55.5,56.73,41320.61,56.7,43.7,46.78,53537.17,46.8,37,87.94,33951.68,87.9,66.8,76.29,32864.96,76.3,58.5,13.1,31,175,26.6,89.1,1822,1,1.2335,EUR,71.9,53.7,57.5,86.1,76.8,61.9,46.3,49.5,177.44,26.9,155.7,199.35,124.75,267.91,256.2,138.6,70.8,761.36,71.5,342.27,142.9,5529.78,193.4,1375.324746,40.2,1540.85,71.6,2.59,44.35,14.56,27.2,285.56,174.54,91.74,85.84,1154.07,86.1,3162.66,69.3,685.64,89.9,578.06,4.333,50.833,BRU,Belgium,Europe,Western Europe,Industrialized
Panama City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,,4.68,25,212,35.4,68.25,76.42,1027.31,83.08,3051.68,,,,,-79.516667,8.983333,PTY,Panama,Americas,Central America,Developing
Taipei,40.71,18369.96,40.7,50.4,31593.47,14.61,12.63,59.43,25756.91,59.4,72.2,52.33,15925.8,52.3,64.3,44.39,18878.4,44.4,55,72.82,22631.28,72.8,88.5,58.47,39915.2,58.5,72.6,75.78,88156.2,75.8,94.2,65.12,138646.8,65.1,83.6,26995.2,54.5,66.6,31.38,26493.8,31.4,40.4,117.5,48290.4,117.5,137.5,39.83,29010.42,39.8,50.4,49.77,56965.8,49.8,64.1,34.18,13197.4,34.2,42.2,40.4,17404,40.4,50,3.2,8.1,73.7,11.2,105.7,2163,1,0.0342,TWD,64.3,83,79.8,78.7,72.7,50.6,65.3,62.8,79.18,12,130,166.51,85.1,182.75,171.4,92.7,71.7,771.25,91.7,439.26,109.3,4226.86,110.2,783.5733,48.6,1861.37,32.3,0.51,19.99,6.41,13.07,383.66,113.07,124.71,78.18,1051.05,78.69,2890.42,91.9,910,105,674.8,121.5,25.05,TPE,Taiwan,Asia,East Asia,Industrialized
Madrid,68.54,30929.33,68.5,57.3,31108.14,16.81,10.06,94.64,41017.98,94.6,76.1,74.2,22582.64,74.2,63.8,46.41,19736,46.4,40.6,73.87,22958.18,73.9,63.5,52.93,36129.22,52.9,45.1,49.89,58045.77,49.9,41.7,34.18,72776.5,34.2,30.2,37891.75,76.6,62.6,43.18,36456.78,43.2,37.4,48.02,19736,48,42,53.5,38967.63,53.5,45.4,56.22,64347.58,56.2,46,64.43,24875.58,64.4,55.3,69.51,29946.64,69.5,58.3,6.2,33.1,178.1,27.1,90.5,1851,1,1.2335,EUR,77.1,62.9,66.2,75.6,66.9,58.3,47.6,50,182.94,27.8,93.4,119.56,96.9,208.1,259.8,140.5,65.2,701.2,62.4,298.7,120,4642.77,221.3,1574.06935,32.6,1251.66,75.2,2.06,46.59,13.46,31.07,301.32,163.36,106.49,68.11,915.72,75.57,2775.75,92.5,915.39,102.8,660.6,-3.7,40.433,MAD,Spain,Europe,Western Europe,Industrialized
Amsterdam,79.23,35756.49,79.2,66.3,38227.55,21.31,12.92,83.89,36360.09,83.9,70.1,138.11,42030.9,138.1,113.8,105.5,44864.86,105.5,86.5,128.21,39846.98,128.2,106,52.66,35945.42,52.7,45.9,58.04,67523.23,58,50,25.44,54175.32,25.4,25,47205.43,95.4,78,57.7,48717.9,57.7,49.5,87.81,36087.28,87.8,73.3,66.37,48339.01,66.4,56.3,58.42,66862.48,58.4,50.3,83.87,32380.61,83.9,70.3,88.51,38131.8,88.5,73.8,25.9,13.3,205.4,31.2,87.7,1794,1,1.2335,EUR,90.1,73.5,78.4,82,74.5,73.9,60.3,64.2,139.61,21.2,99.5,127.46,94.03,201.94,196,106,57.7,620.98,70.9,339.38,131.9,5104.53,142.9,1016.262148,44.7,1712.71,79.1,3.39,49,15.28,30.33,214.01,98.68,94.05,77.24,1038.37,81.96,3010.4,93.5,925.51,97.4,626.04,4.9,52.383,AMS,Netherlands,Europe,Western Europe,Industrialized
Kuala Lumpur,24.39,11006.46,24.4,27.7,12453.45,5.92,4.83,18.57,8049.44,18.6,21.3,27.35,8323.6,27.3,31.1,21.65,9205.2,21.6,24.8,20.19,6276.58,20.2,23.2,26.5,18090.77,26.5,30.4,30.98,36036.65,31,35.3,14.41,30684,14.4,18.5,6500.46,13.1,15.3,11.76,9926.84,11.8,14.3,37.33,15342,37.3,41.4,15.02,10938.28,15,17.9,26.78,30649.91,26.8,31.1,32.23,12444.07,32.2,36.2,21.13,9102.92,21.1,24.2,12.7,4.4,115.4,17.5,102.9,2105,1,0.2557,MYR,35.8,43.6,42,57.3,48.1,20.5,25,24,208.96,31.7,150.6,192.83,114.92,246.79,448.5,242.6,36.2,389.7,92.8,444.17,96.2,3721.01,71.7,509.853015,11.7,449.61,23.9,0.78,14.81,2.33,11.7,115.43,47.63,105.6,43.63,586.53,57.26,2103.28,50.1,496.1,57.9,371.94,101.7,3.167,KUL,Malaysia,Asia,East Asia,Developing
Lyon,61.45,27733.19,61.5,60.9,34303.2,19.18,13.47,79,34237.57,79,77,104.08,31675.05,104.1,101.3,74.35,31617.07,74.4,72.9,95.04,29538.35,95,93,44.9,30647.54,44.9,46,59.08,68734.32,59.1,58.1,46.95,99975.18,47,48.5,34173.09,69,67.8,44.97,37970.21,45,46.3,71.19,29258.62,71.2,70.2,52.48,38225.62,52.5,53.3,59.15,67701.26,59.2,58.2,69.11,26681.43,69.1,68.6,75.09,32349.5,75.1,73.5,21.5,7.4,187.8,28.5,87.4,1788,1,1.2335,EUR,83.7,77.9,84.3,79.4,68.7,66.5,61.9,67,163.8,24.9,81.5,104.42,87.65,188.23,196.2,106.2,58.6,630.06,77.1,369.25,107.9,4173.8,148.7,1057.565895,25.9,992.15,70.9,2.34,43.89,15.65,25.9,213.89,105.43,79.87,77.36,1040.06,79.44,2917.96,50.2,497.25,69.1,444.15,4.834167,45.766944,LYS,France,Europe,Western Europe,Industrialized
Beijing,20.61,9301.45,20.6,23.1,11137.74,5.31,4.22,22.59,9792.19,22.6,25.1,18.46,5618.75,18.5,20.8,19.37,8238.73,19.4,21.7,26.88,8354.47,26.9,29.9,15.69,10711.4,15.7,18,33.39,38847.22,33.4,36.4,10.67,22727.52,10.7,13.5,6767.75,13.7,15.5,15.62,13187.01,15.6,17.8,20.74,8522.82,20.7,23.5,13.93,10143.21,13.9,16.2,28.32,32407.76,28.3,31.2,16.35,6313.2,16.4,18.4,17.87,7697.9,17.9,20.1,10.2,8.7,63.6,9.7,102.5,2096,1,0.1578,CNY,28.1,32,32,65.1,60.1,18.4,21,21,336.17,51,63.5,81.33,98.72,212.01,581,314.3,48.8,524.95,71.4,342.05,97.4,3768.66,105.1,747.64071,40,1532.27,16.8,0.63,10.43,2.78,7.02,257.82,67.51,50.98,46.1,619.69,65.12,2391.88,55.9,552.99,81.8,525.72,116.391389,39.905556,PEK,China,Asia,East Asia,Transition
